Serial #,Date,Time,No of Axles,Class Index,Class,Lane #,Speed(kph),Speed(mph),Gross Weight (Kg),Axle Wt1,Axle Wt2,Axle Wt3,Axle Wt4,Axle Wt5,Axle Wt6,Axle Wt7,Axle Wt8,Axle Wt9,Axle Wt10,Spacing1,Spacing2,Spacing3,Spacing4,Spacing5,Spacing6,Spacing7,Spacing8,Spacing9,Length(cm),Overhang(%),Headway(msec),Gap(cm),Direction,Validity,Straddle,Chassis Code,Legal Status,Legal Status,Front LF,Middle LF,Rear LF,Straddle Window,Average Speed,Front HF,Middle HF,Rear HF,Time Diff 1,Time Diff 2,Loop On Time,Registration,Axle 11,Axle 12,Axle 13,Axle 14,Axle 15,Axle 16,Axle 17,Axle 18,Axle 19,Axle 20,Axle 21,Axle 22,Axle 23,Axle 24,Axle 25,Space 10,Space 11,Space 12,Space 13,Space 14,Space 15,Space 16,Space 17,Space 18,Space 19,Space 20,Space 21,Space 22,Space 23,Space 24,Road Surface,Mote Address,Mote Hops,Mote Noise,Gas Type 1,Gas Type 2,Gas Type 3,Mote Temp,Mote Humidity,Mote Battery,RSSI,Record Type,Gross Wt P1,Gross Wt P2,Axle Wt 1 P1,Axle Wt 1 P2,Axle Wt 2 P1,Axle Wt 2 P2,Axle Wt 3 P1,Axle Wt 3 P2,Axle Wt 4 P1,Axle Wt 4 P2,Axle Wt 5 P1,Axle Wt 5 P2,Axle Wt 6 P1,Axle Wt 6 P2,Axle Wt 7 P1,Axle Wt 7 P2,Axle Wt 8 P1,Axle Wt 8 P2,Axle Wt 9 P1,Axle Wt 9 P2,Axle Wt 10 P1,Axle Wt 10 P2,Axle Wt 1 S1,Axle Wt 1 S2,Axle Wt 1 S3,Axle Wt 1 S4,Axle Wt 1 S5,Axle Wt 1 S6,Axle Wt 1 S7,Axle Wt 1 S8,Axle Wt 2 S1,Axle Wt 2 S2,Axle Wt 2 S3,Axle Wt 2 S4,Axle Wt 2 S5,Axle Wt 2 S6,Axle Wt 2 S7,Axle Wt 2 S8,Axle Wt 3 S1,Axle Wt 3 S2,Axle Wt 3 S3,Axle Wt 3 S4,Axle Wt 3 S5,Axle Wt 3 S6,Axle Wt 3 S7,Axle Wt 3 S8,Axle Wt 4 S1,Axle Wt 4 S2,Axle Wt 4 S3,Axle Wt 4 S4,Axle Wt 4 S5,Axle Wt 4 S6,Axle Wt 4 S7,Axle Wt 4 S8,Axle Wt 5 S1,Axle Wt 5 S2,Axle Wt 5 S3,Axle Wt 5 S4,Axle Wt 5 S5,Axle Wt 5 S6,Axle Wt 5 S7,Axle Wt 5 S8,Axle Wt 6 S1,Axle Wt 6 S2,Axle Wt 6 S3,Axle Wt 6 S4,Axle Wt 6 S5,Axle Wt 6 S6,Axle Wt 6 S7,Axle Wt 6 S8,Axle Wt 1 Sensor Avg,Axle Wt 2 Sensor Avg,Axle Wt 3 Sensor Avg,Axle Wt 4 Sensor Avg,Axle Wt 5 Sensor Avg,Axle Wt 6 Sensor Avg,Gross Wt S1,Gross Wt S2,Gross Wt S3,Gross Wt S4,Gross Wt S5,Gross Wt S6,Gross Wt S7,Gross Wt S8,Temperature(C),Start Time,Wheel Wt 1 L,Wheel Wt 1 R,Wheel Wt 2 L,Wheel Wt 2 R,Wheel Wt 3 L,Wheel Wt 3 R,Wheel Wt 4 L,Wheel Wt 4 R,Wheel Wt 5 L,Wheel Wt 5 R,Wheel Wt 6 L,Wheel Wt 6 R,Wheel Wt 7 L,Wheel Wt 7 R,Wheel Wt 8 L,Wheel Wt 8 R,Wheel Wt 9 L,Wheel Wt 9 R,Wheel Wt 10 L,Wheel Wt 10 R
77571754,2020/9/7,07:57:03.1,2,0,A,2,50,31.3,1820,1060,760,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,468,75,9800,0,SOUTHBOUND,11000000,No,101,0,2,0,0,0,1000,997,101,99,83,1000,1599,28727,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,56:34.2,,,,,,,,,,,,,,,,,,,,
77571755,2020/9/7,07:57:03.6,2,0,A,5,80,50,2200,1240,960,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,523,41,1300,1750,NORTHBOUND,0,No,108,0,2,16,80,7,2356,2061,104,108,73,1000,1000,325,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:03.3,,,,,,,,,,,,,,,,,,,,
77571756,2020/9/7,07:57:04.1,2,0,A,2,50,31.3,1820,1060,760,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,245,0,29500,0,SOUTHBOUND,1000000,No,90,0,2,0,26,1,1000,997,39,90,20,1000,1599,264,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:03.7,,,,,,,,,,,,,,,,,,,,
77571757,2020/9/7,07:57:04.2,2,0,A,3,85,53.1,1690,1020,670,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,365,0,0,0,SOUTHBOUND,1000000,No,-1425,0,2,-10817,6728,21096,1000,997,-1425,-19723,-25096,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,00:02.5,,,,,,,,,,,,,,,,,,,,
77571758,2020/9/7,07:57:06.7,2,0,A,5,93,58.1,1450,830,620,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,422,43,3100,6350,NORTHBOUND,0,No,68,0,2,12,35,5,2356,2061,38,68,31,1000,1000,241,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:06.5,,,,,,,,,,,,,,,,,,,,
77571759,2020/9/7,07:57:06.8,2,0,A,3,89,55.6,2550,1170,1380,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,427,0,0,0,SOUTHBOUND,1000000,No,-1425,0,2,-10817,6728,21096,1000,997,-1425,-19723,-25096,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,00:02.5,,,,,,,,,,,,,,,,,,,,
77571760,2020/9/7,07:57:07.3,2,0,A,2,50,31.3,1370,840,530,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,400,77,3100,4100,SOUTHBOUND,1000000,No,82,0,2,5,0,1,1000,997,30,82,10,1000,1599,326,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:06.9,,,,,,,,,,,,,,,,,,,,
77571761,2020/9/7,07:57:07.5,2,0,A,1,79,49.4,1540,830,710,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,363,0,0,0,SOUTHBOUND,1000000,No,-21,0,2,7433,-22527,-10402,1000,997,5128,-21766,-21,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,00:02.5,,,,,,,,,,,,,,,,,,,,
77571762,2020/9/7,07:57:07.5,2,0,A,4,91,56.9,1800,1110,690,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,468,82,4300,0,NORTHBOUND,0,No,112,0,2,11,0,0,1000,997,112,8,3,1000,1599,681,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:06.8,,,,,,,,,,,,,,,,,,,,
77571763,2020/9/7,07:57:09.5,2,0,A,2,50,31.3,1370,840,530,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,440,77,2200,2650,SOUTHBOUND,1000000,No,122,0,2,10,0,0,1000,997,53,122,12,1000,1599,320,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:09.1,,,,,,,,,,,,,,,,,,,,
77571764,2020/9/7,07:57:11.3,2,0,A,5,110,68.8,1930,1140,790,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,534,49,4500,0,NORTHBOUND,0,No,94,0,2,9,59,7,2356,2061,57,94,45,1000,1000,240,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:11.1,,,,,,,,,,,,,,,,,,,,
77571765,2020/9/7,07:57:12.5,2,0,A,2,50,31.3,1370,840,530,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,440,83,2800,3450,SOUTHBOUND,1000000,No,119,0,2,1,5,0,1000,997,111,119,5,1000,1599,398,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:12.0,,,,,,,,,,,,,,,,,,,,
77571766,2020/9/7,07:57:17.4,5,6,F,6,72,45,22340,5860,5800,3170,3640,3870,0,0,0,0,0,352,678,130,132,0,0,0,0,0,1432,9,38600,0,NORTHBOUND,0,No,25,0,12,8,4,8,2356,2061,25,25,14,1000,1000,816,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:16.6,,,,,,,,,,,,,,,,,,,,
77571767,2020/9/7,07:57:17.6,2,2,C,4,95,59.4,16900,5590,11310,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,2319,76,9800,0,NORTHBOUND,0,No,101,10000,3,0,0,0,1000,997,101,75,2,1000,1599,955,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:16.7,,,,,,,,,,,,,,,,,,,,
77571768,2020/9/7,07:57:22.7,2,0,A,5,90,56.3,2390,1280,1110,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,488,44,11300,0,NORTHBOUND,0,No,85,0,2,7,24,2,2356,2061,38,85,19,1000,1000,275,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:22.5,,,,,,,,,,,,,,,,,,,,
77571769,2020/9/7,07:57:22.7,2,1,B,4,95,59.4,2250,1270,980,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,332,0,2300,3750,NORTHBOUND,1000000,No,5,0,0,0,0,0,1000,997,5,2,2,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:19.0,,,,,,,,,,,,,,,,,,,,
77571770,2020/9/7,07:57:26.5,2,0,A,4,97,60.6,2660,1340,1320,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,468,74,7000,0,NORTHBOUND,0,No,692,0,2,0,0,0,1000,997,142,147,692,1000,1599,486,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:26.1,,,,,,,,,,,,,,,,,,,,
77571771,2020/9/7,07:57:28.8,2,0,A,3,95,59.4,2420,1190,1230,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,398,0,0,0,SOUTHBOUND,1000000,No,-1425,0,2,-10817,6728,21096,1000,997,-1425,-19723,-25096,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,00:02.5,,,,,,,,,,,,,,,,,,,,
77571772,2020/9/7,07:57:29.1,2,0,A,4,97,60.6,2500,1400,1100,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,1301,76,2400,6000,NORTHBOUND,0,No,102,0,2,3,0,0,1000,997,93,102,3,1000,1599,557,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:28.5,,,,,,,,,,,,,,,,,,,,
77571773,2020/9/7,07:57:31.2,2,0,A,5,87,54.4,1630,960,670,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,513,43,8400,0,NORTHBOUND,0,No,108,0,2,16,26,2,2356,2061,61,108,24,1000,1000,276,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:31.0,,,,,,,,,,,,,,,,,,,,
77571774,2020/9/7,07:57:31.8,2,0,A,3,97,60.6,2520,1370,1150,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,404,0,0,0,SOUTHBOUND,1000000,No,-1425,0,2,-10817,6728,21096,1000,997,-1425,-19723,-25096,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,00:02.5,,,,,,,,,,,,,,,,,,,,
77571775,2020/9/7,07:57:32.0,2,0,A,5,89,55.6,1480,860,620,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,443,41,800,1400,NORTHBOUND,0,No,99,0,2,14,16,0,2356,2061,57,99,12,1000,1000,260,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:31.8,,,,,,,,,,,,,,,,,,,,
77571776,2020/9/7,07:57:35.8,2,0,A,4,95,59.4,1980,1170,810,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,392,0,700,550,NORTHBOUND,1000000,No,163,0,2,5,0,0,1000,997,149,163,5,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:29.3,,,,,,,,,,,,,,,,,,,,
77571777,2020/9/7,07:57:37.2,6,7,F,1,69,43.1,21480,5440,3890,3950,2410,3020,2770,0,0,0,0,328,132,398,129,128,0,0,0,0,1393,0,0,0,SOUTHBOUND,1000000,No,-21,0,14,7433,-22527,-10402,1000,997,5128,-21766,-21,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,00:02.5,,,,,,,,,,,,,,,,,,,,
77571778,2020/9/7,07:57:37.6,2,0,A,4,91,56.9,1540,880,660,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,358,0,6500,0,NORTHBOUND,1000000,No,261,0,2,8,0,0,1000,997,238,261,8,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:35.8,,,,,,,,,,,,,,,,,,,,
77571779,2020/9/7,07:57:38.4,2,0,A,3,78,48.8,1060,660,400,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,325,0,0,0,SOUTHBOUND,1000000,No,-1425,0,2,-10817,6728,21096,1000,997,-1425,-19723,-25096,1000,1599,0,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,00:02.5,,,,,,,,,,,,,,,,,,,,
77571780,2020/9/7,07:57:39.6,3,4,E,6,76,47.5,16170,4440,4190,7540,0,0,0,0,0,0,0,180,574,0,0,0,0,0,0,0,1046,27,22300,0,NORTHBOUND,0,No,16,0,4,8,10,2,2356,2061,16,16,16,1000,1000,590,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:39.0,,,,,,,,,,,,,,,,,,,,
77571781,2020/9/7,07:57:40.4,2,0,A,2,50,31.3,1820,1060,760,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,425,84,26900,0,SOUTHBOUND,1000000,No,44,0,2,0,0,0,1000,997,36,44,33,1000,1599,1292,No ANPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,57:38.9,,,,,,,,,,,,,,,,,,,,
