2021排名,2022排名,学校名称,省市,总得分,办学层次,学科水平,办学资源,师资规模,人才培养,科学研究,服务社会,高端人才,重大项目,国际竞争力
1,1,清华大学,北京,999.4,37.6,73.6,50,51.7,334.6,101.3,48.4,89.8,126.8,85.7
2,2,北京大学,北京,912.5,34.4,73,34.5,52.2,322.7,97.7,19.4,91.4,108.1,79.2
3,3,浙江大学,浙江,825.3,34.1,64.7,34.3,50,294,103.4,30.5,68.2,89,57
4,4,上海交通大学,上海,783.3,35.5,52.9,31.1,47.9,266.8,110.4,32.3,67.3,93.3,45.7
6,5,复旦大学,上海,697.8,35.9,48,23.8,50.2,262.8,87.9,15.3,62.5,61.6,49.6
5,6,南京大学,江苏,683.4,37.7,48.7,12.5,49.1,279.9,77.7,14,58.6,68,37.3
7,7,中国科学技术大学,安徽,609.9,40,37.4,16.4,46.6,234.6,75.8,9.4,55.1,41.7,53
8,8,华中科技大学,湖北,609.3,32.3,44,14.9,47.8,248.7,83.3,12.1,36.2,49,41.1
9,9,武汉大学,湖北,607.1,32.8,49,14.5,48.4,270.6,65.2,12,36.6,44.5,33.4
10,10,西安交通大学,陕西,570.2,34.2,41,16.7,47.6,258.8,57,19.4,25.9,40.4,29.3
14,11,四川大学,四川,561.7,32,46.8,13,45.5,236.2,74.1,18,29.5,36.5,30.3
12,12,中山大学,广东,559.4,31.4,46.5,22.9,51.8,211.3,82.4,9,37.6,26.8,39.5
11,13,哈尔滨工业大学,黑龙江,549.8,32.7,37.6,22.9,49.7,240,58.7,21.4,22.6,35.3,28.8
16,14,同济大学,上海,548.4,32.8,41.4,16.3,46.6,227.4,68,22.7,30.2,36.9,26.1
15,15,北京航空航天大学,北京,546.7,33.2,34.6,17.3,45.8,227.7,53.7,21.7,27.1,59.2,26.4
17,16,东南大学,江苏,538.5,34.9,37.1,18,47,233.8,54.2,20.8,20.8,40.4,31.4
13,17,北京师范大学,北京,534.7,34.6,41.2,20,50.1,229.5,51.4,4.2,34.6,36,33.2
19,18,北京理工大学,北京,530.9,33.1,31.3,15.9,46.5,218.6,61.3,24.9,19.3,45.4,34.7
18,19,中国人民大学,北京,514.7,34.2,41.4,14.5,49.1,239.6,38.3,2.2,35.3,42.8,17.1
20,20,南开大学,天津,497.4,31.3,35.2,10.1,47.7,228.5,45.6,10.2,31.2,28,29.6
22,21,天津大学,天津,490.8,33,33.8,13.3,46.8,211.8,54.4,17.6,25.6,24.6,29.9
21,22,山东大学,山东,484.3,29.2,40.4,12.9,47.9,221.1,54.2,11.7,20.7,21.7,24.6
23,23,中南大学,湖南,475.8,30.7,38.2,9.9,44.2,195.7,59.7,25.1,17.2,26.3,28.8
25,24,西北工业大学,陕西,467.9,32.7,25.7,19.6,49.9,203.1,59.3,9.1,13.3,24.8,30.4
27,25,华南理工大学,广东,466.7,30.8,33.9,12.2,45.5,192.4,54,25.4,20.6,19.8,32.1
26,26,厦门大学,福建,458.8,33.7,37.4,12.6,44.4,197.6,50.2,5.6,27.8,22.3,27.1
24,27,吉林大学,吉林,450.3,31.2,40.8,10.5,53.2,207.9,46.5,4.6,15.2,17.6,22.6
29,28,华东师范大学,上海,440.7,32.6,34.1,13,46.8,192.9,43.6,3.5,24.9,23.7,25.7
30,29,中国农业大学,北京,433.7,31.9,34.2,10.3,48.3,171.1,43.2,11.8,22.1,36.7,24
31,30,电子科技大学,四川,432,32.3,25.1,10.5,42.8,211.5,32.4,7.2,16.9,19.2,34.2
28,31,大连理工大学,辽宁,426.5,30.7,30.9,9,46.2,195.7,39.8,10.2,14.3,30.6,19.1
32,32,湖南大学,湖南,417.5,31.5,30.4,8.2,42.7,179.9,37.2,11.4,17.7,27.1,31.4
37,33,南京理工大学,江苏,398.8,30,24.1,9.6,44.1,192.9,36.7,17.2,8.3,18.6,17.3
